Rank;Global Rank;Institution;Country;Sector;Year
1;603;Universite Mohammed V-Agdal;MAR;Universities;2016
2;617;Universite Cadi Ayyad;MAR;Universities;2016
3;644;Universite Mohammed Premier;MAR;Universities;2016
4;667;Universite Abdelmalek Essaadi Tetouan;MAR;Universities;2016
5;668;Universite Ibn Zohr;MAR;Universities;2016
6;669;Universite Chouaib Doukkali;MAR;Universities;2016
6;669;Universite Moulay Ismail;MAR;Universities;2016
7;670;Universite Ibn Tofail;MAR;Universities;2016
8;673;Universite Sidi Mohamed Ben Abdellah;MAR;Universities;2016
9;674;Universite Hassan II - Ain Chock;MAR;Universities;2016
9;674;Universite Mohammed V-Souissi;MAR;Universities;2016
10;676;Universite Hassan II Mohammedia;MAR;Universities;2016
